# Enquête Besoins en Main-d'Œuvre 2026 (France Travail), agrégée par département × famille de métiers FAP.
# Source : Base-open-data-BMO-2026.xlsx (francetravail.org, open data), lue le 28/08/2026 ; somme des bassins d'emploi.
# projets = projets de recrutement déclarés ; difficiles = jugés difficiles ; saisonniers = liés à une activité saisonnière.
# Les cellules secrétisées (« * ») de la source sont ignorées : les totaux sont des minorants.
dept;famille;libelle;projets;difficiles;saisonniers
08;V;Fonctions liées à la vente, au tourisme et aux services;2073;989;443
08;Z;Autres métiers;787;207;403
09;A;Fonctions administratives;312;114;77
09;C;Fonctions d'encadrement;317;106;38
09;I;Ouvriers des secteurs de l'industrie;537;267;56
09;O;Ouvriers de la construction et du bâtiment;181;108;40
09;S;Fonctions sociales et médico-sociales;874;571;287
09;T;Autres techniciens et employés;13;13;0
09;V;Fonctions liées à la vente, au tourisme et aux services;1872;610;1122
09;Z;Autres métiers;1387;269;962
10;A;Fonctions administratives;233;74;39
10;C;Fonctions d'encadrement;335;113;52
10;I;Ouvriers des secteurs de l'industrie;1059;533;374
10;O;Ouvriers de la construction et du bâtiment;432;282;46
10;S;Fonctions sociales et médico-sociales;994;428;337
10;T;Autres techniciens et employés;137;63;40
10;V;Fonctions liées à la vente, au tourisme et aux services;3316;1331;1269
10;Z;Autres métiers;6895;2294;6266
11;A;Fonctions administratives;420;146;172
11;C;Fonctions d'encadrement;472;105;179
11;I;Ouvriers des secteurs de l'industrie;497;283;199
11;O;Ouvriers de la construction et du bâtiment;333;176;5
11;S;Fonctions sociales et médico-sociales;1239;599;275
11;T;Autres techniciens et employés;94;86;5
11;V;Fonctions liées à la vente, au tourisme et aux services;5890;2182;3820
11;Z;Autres métiers;3623;1202;2728
12;A;Fonctions administratives;485;156;133
12;C;Fonctions d'encadrement;336;97;55
12;I;Ouvriers des secteurs de l'industrie;882;620;89
12;O;Ouvriers de la construction et du bâtiment;613;439;42
12;S;Fonctions sociales et médico-sociales;1148;782;548
12;T;Autres techniciens et employés;116;38;16
12;V;Fonctions liées à la vente, au tourisme et aux services;2937;1164;1546
12;Z;Autres métiers;1469;695;944
13;A;Fonctions administratives;3853;1153;646
13;C;Fonctions d'encadrement;9036;2056;2036
13;I;Ouvriers des secteurs de l'industrie;4852;2035;1239
13;O;Ouvriers de la construction et du bâtiment;3772;1643;372
13;S;Fonctions sociales et médico-sociales;9292;4027;2031
13;T;Autres techniciens et employés;2169;1271;34
13;V;Fonctions liées à la vente, au tourisme et aux services;28275;11069;9552
13;Z;Autres métiers;12134;3954;7622
14;A;Fonctions administratives;1193;275;277
14;C;Fonctions d'encadrement;1920;415;808
14;I;Ouvriers des secteurs de l'industrie;2247;896;485
14;O;Ouvriers de la construction et du bâtiment;1225;738;35
14;S;Fonctions sociales et médico-sociales;4200;1790;1622
14;T;Autres techniciens et employés;300;114;12
14;V;Fonctions liées à la vente, au tourisme et aux services;11921;5863;5058
14;Z;Autres métiers;3725;1296;1588
15;A;Fonctions administratives;189;65;81
15;C;Fonctions d'encadrement;118;101;12
15;I;Ouvriers des secteurs de l'industrie;392;212;67
15;O;Ouvriers de la construction et du bâtiment;478;440;0
15;S;Fonctions sociales et médico-sociales;556;361;117
15;T;Autres techniciens et employés;66;39;0
15;V;Fonctions liées à la vente, au tourisme et aux services;2138;953;1235
15;Z;Autres métiers;604;432;279
16;A;Fonctions administratives;388;69;43
16;C;Fonctions d'encadrement;805;207;94
16;I;Ouvriers des secteurs de l'industrie;1197;487;121
16;O;Ouvriers de la construction et du bâtiment;483;355;64
16;S;Fonctions sociales et médico-sociales;1448;1122;293
16;T;Autres techniciens et employés;91;43;0
16;V;Fonctions liées à la vente, au tourisme et aux services;4102;1962;1188
16;Z;Autres métiers;3356;1698;2616
17;A;Fonctions administratives;1170;364;522
17;C;Fonctions d'encadrement;1638;461;470
17;I;Ouvriers des secteurs de l'industrie;2234;1214;379
17;O;Ouvriers de la construction et du bâtiment;1152;797;188
17;S;Fonctions sociales et médico-sociales;3520;2006;1245
17;T;Autres techniciens et employés;404;173;0
17;V;Fonctions liées à la vente, au tourisme et aux services;15548;7615;10484
17;Z;Autres métiers;7672;3210;6099
18;A;Fonctions administratives;382;256;203
18;C;Fonctions d'encadrement;650;212;70
18;I;Ouvriers des secteurs de l'industrie;712;412;77
18;O;Ouvriers de la construction et du bâtiment;266;239;5
18;S;Fonctions sociales et médico-sociales;888;322;124
18;T;Autres techniciens et employés;134;99;9
18;V;Fonctions liées à la vente, au tourisme et aux services;2552;1130;820
18;Z;Autres métiers;2721;1235;1749
19;A;Fonctions administratives;457;239;36
19;C;Fonctions d'encadrement;519;190;191
19;I;Ouvriers des secteurs de l'industrie;1544;1186;687
19;O;Ouvriers de la construction et du bâtiment;347;279;33
19;S;Fonctions sociales et médico-sociales;1114;841;186
19;T;Autres techniciens et employés;128;69;13
19;V;Fonctions liées à la vente, au tourisme et aux services;2477;1368;975
19;Z;Autres métiers;2181;1240;1532
21;A;Fonctions administratives;1089;328;190
21;C;Fonctions d'encadrement;1253;440;159
21;I;Ouvriers des secteurs de l'industrie;1395;823;145
21;O;Ouvriers de la construction et du bâtiment;930;594;33
21;S;Fonctions sociales et médico-sociales;1787;862;386
21;T;Autres techniciens et employés;323;165;0
21;V;Fonctions liées à la vente, au tourisme et aux services;7662;3287;2435
21;Z;Autres métiers;5162;2387;3676
22;A;Fonctions administratives;784;247;231
22;C;Fonctions d'encadrement;1178;428;235
22;I;Ouvriers des secteurs de l'industrie;2297;1362;773
22;O;Ouvriers de la construction et du bâtiment;1190;807;75
22;S;Fonctions sociales et médico-sociales;2659;1189;1105
22;T;Autres techniciens et employés;168;110;0
22;V;Fonctions liées à la vente, au tourisme et aux services;8117;3703;4635
22;Z;Autres métiers;5301;2883;3430
23;A;Fonctions administratives;74;27;21
23;C;Fonctions d'encadrement;170;80;50
23;I;Ouvriers des secteurs de l'industrie;284;196;6
23;O;Ouvriers de la construction et du bâtiment;267;238;0
23;S;Fonctions sociales et médico-sociales;638;406;140
23;T;Autres techniciens et employés;5;5;0
23;V;Fonctions liées à la vente, au tourisme et aux services;768;398;348
23;Z;Autres métiers;477;230;239
24;A;Fonctions administratives;441;164;205
24;C;Fonctions d'encadrement;616;184;65
24;I;Ouvriers des secteurs de l'industrie;1173;774;309
24;O;Ouvriers de la construction et du bâtiment;1123;915;40
24;S;Fonctions sociales et médico-sociales;1878;1254;714
24;T;Autres techniciens et employés;164;105;0
24;V;Fonctions liées à la vente, au tourisme et aux services;7064;3896;3769
24;Z;Autres métiers;4026;1484;3260
25;A;Fonctions administratives;672;214;55
25;C;Fonctions d'encadrement;1196;269;449
25;I;Ouvriers des secteurs de l'industrie;1840;852;321
25;O;Ouvriers de la construction et du bâtiment;998;645;62
25;S;Fonctions sociales et médico-sociales;2524;1322;175
25;T;Autres techniciens et employés;217;113;17
25;V;Fonctions liées à la vente, au tourisme et aux services;6418;3111;1444
25;Z;Autres métiers;1170;469;218
26;A;Fonctions administratives;675;153;186
26;C;Fonctions d'encadrement;1461;423;637
26;I;Ouvriers des secteurs de l'industrie;2504;1206;737
26;O;Ouvriers de la construction et du bâtiment;724;536;56
26;S;Fonctions sociales et médico-sociales;1439;674;453
26;T;Autres techniciens et employés;542;440;19
26;V;Fonctions liées à la vente, au tourisme et aux services;4886;1950;2420
26;Z;Autres métiers;6212;2255;4742
27;A;Fonctions administratives;528;45;110
27;C;Fonctions d'encadrement;767;227;177
27;I;Ouvriers des secteurs de l'industrie;1583;621;408
27;O;Ouvriers de la construction et du bâtiment;1007;660;72
27;S;Fonctions sociales et médico-sociales;1875;1190;349
27;T;Autres techniciens et employés;199;109;0
27;V;Fonctions liées à la vente, au tourisme et aux services;4649;1937;1367
27;Z;Autres métiers;2092;996;736
28;A;Fonctions administratives;466;164;41
28;C;Fonctions d'encadrement;852;364;111
28;I;Ouvriers des secteurs de l'industrie;1065;511;111
28;O;Ouvriers de la construction et du bâtiment;861;580;25
28;S;Fonctions sociales et médico-sociales;1058;365;213
28;T;Autres techniciens et employés;231;84;0
28;V;Fonctions liées à la vente, au tourisme et aux services;3504;1333;882
28;Z;Autres métiers;2469;1151;1312
29;A;Fonctions administratives;1339;231;281
29;C;Fonctions d'encadrement;2188;330;403
29;I;Ouvriers des secteurs de l'industrie;3964;1809;1170
29;O;Ouvriers de la construction et du bâtiment;1705;1267;221
29;S;Fonctions sociales et médico-sociales;5095;2345;1980
29;T;Autres techniciens et employés;497;330;14
29;V;Fonctions liées à la vente, au tourisme et aux services;14485;6357;7544
29;Z;Autres métiers;6479;3041;4508
2A;A;Fonctions administratives;395;152;236
2A;C;Fonctions d'encadrement;467;171;125
2A;I;Ouvriers des secteurs de l'industrie;403;273;267
2A;O;Ouvriers de la construction et du bâtiment;714;418;112
2A;S;Fonctions sociales et médico-sociales;657;331;326
2A;T;Autres techniciens et employés;97;76;0
2A;V;Fonctions liées à la vente, au tourisme et aux services;7469;3273;5855
2A;Z;Autres métiers;1390;615;896
2B;A;Fonctions administratives;196;61;33
2B;C;Fonctions d'encadrement;455;186;130
2B;I;Ouvriers des secteurs de l'industrie;667;440;300
2B;O;Ouvriers de la construction et du bâtiment;840;637;38
2B;S;Fonctions sociales et médico-sociales;558;375;218
2B;T;Autres techniciens et employés;87;65;8
2B;V;Fonctions liées à la vente, au tourisme et aux services;5732;2867;4277
2B;Z;Autres métiers;2680;1247;1923
30;A;Fonctions administratives;979;210;258
30;C;Fonctions d'encadrement;1518;274;465
30;I;Ouvriers des secteurs de l'industrie;1638;717;237
30;O;Ouvriers de la construction et du bâtiment;1006;641;97
30;S;Fonctions sociales et médico-sociales;2315;1154;608
30;T;Autres techniciens et employés;285;116;47
30;V;Fonctions liées à la vente, au tourisme et aux services;8917;3342;4039
30;Z;Autres métiers;5632;1143;4106
31;A;Fonctions administratives;3146;754;207
31;C;Fonctions d'encadrement;7826;2128;1334
31;I;Ouvriers des secteurs de l'industrie;3835;2253;193
31;O;Ouvriers de la construction et du bâtiment;2379;1146;221
31;S;Fonctions sociales et médico-sociales;6529;3259;1987
31;T;Autres techniciens et employés;1601;976;33
31;V;Fonctions liées à la vente, au tourisme et aux services;17166;6461;3421
31;Z;Autres métiers;3248;1428;725
32;A;Fonctions administratives;214;20;31
32;C;Fonctions d'encadrement;294;109;62
32;I;Ouvriers des secteurs de l'industrie;646;190;192
32;O;Ouvriers de la construction et du bâtiment;295;155;0
32;S;Fonctions sociales et médico-sociales;818;451;265
32;T;Autres techniciens et employés;108;60;0
32;V;Fonctions liées à la vente, au tourisme et aux services;1654;760;727
32;Z;Autres métiers;2616;1081;2021
33;A;Fonctions administratives;2579;890;408
33;C;Fonctions d'encadrement;5849;2106;535
33;I;Ouvriers des secteurs de l'industrie;4328;2304;883
33;O;Ouvriers de la construction et du bâtiment;3475;2225;167
33;S;Fonctions sociales et médico-sociales;7735;4342;1973
33;T;Autres techniciens et employés;1289;857;12
33;V;Fonctions liées à la vente, au tourisme et aux services;26657;12471;9162
33;Z;Autres métiers;15133;6382;10642
34;A;Fonctions administratives;2135;338;589
34;C;Fonctions d'encadrement;4125;1153;761
34;I;Ouvriers des secteurs de l'industrie;2101;1076;532
34;O;Ouvriers de la construction et du bâtiment;1241;684;144
34;S;Fonctions sociales et médico-sociales;4268;1920;1396
34;T;Autres techniciens et employés;718;448;12
34;V;Fonctions liées à la vente, au tourisme et aux services;17162;6484;8156
34;Z;Autres métiers;5602;1648;3995
35;A;Fonctions administratives;1895;607;310
35;C;Fonctions d'encadrement;4430;1273;1019
35;I;Ouvriers des secteurs de l'industrie;4897;2893;1271
35;O;Ouvriers de la construction et du bâtiment;2098;1465;221
35;S;Fonctions sociales et médico-sociales;6364;3759;2458
35;T;Autres techniciens et employés;731;427;42
35;V;Fonctions liées à la vente, au tourisme et aux services;13641;6682;5136
35;Z;Autres métiers;5832;2724;2639
36;A;Fonctions administratives;328;114;7
36;C;Fonctions d'encadrement;485;103;87
36;I;Ouvriers des secteurs de l'industrie;686;213;23
36;O;Ouvriers de la construction et du bâtiment;408;238;11
36;S;Fonctions sociales et médico-sociales;927;358;104
36;T;Autres techniciens et employés;249;40;0
36;V;Fonctions liées à la vente, au tourisme et aux services;1657;592;562
36;Z;Autres métiers;1095;371;573
37;A;Fonctions administratives;1103;306;190
37;C;Fonctions d'encadrement;2161;615;169
37;I;Ouvriers des secteurs de l'industrie;1784;967;118
37;O;Ouvriers de la construction et du bâtiment;979;554;6
37;S;Fonctions sociales et médico-sociales;3546;1656;1182
37;T;Autres techniciens et employés;522;264;29
37;V;Fonctions liées à la vente, au tourisme et aux services;7378;2989;2435
37;Z;Autres métiers;5680;2331;3746
38;A;Fonctions administratives;1654;482;248
38;C;Fonctions d'encadrement;4147;1559;936
38;I;Ouvriers des secteurs de l'industrie;4460;2156;730
38;O;Ouvriers de la construction et du bâtiment;2469;1958;152
38;S;Fonctions sociales et médico-sociales;4481;2687;1266
38;T;Autres techniciens et employés;1392;786;56
38;V;Fonctions liées à la vente, au tourisme et aux services;12414;4718;4349
38;Z;Autres métiers;4649;2202;1794
39;A;Fonctions administratives;357;91;92
39;C;Fonctions d'encadrement;323;159;98
39;I;Ouvriers des secteurs de l'industrie;1022;584;186
39;O;Ouvriers de la construction et du bâtiment;568;369;12
39;S;Fonctions sociales et médico-sociales;1192;714;322
39;T;Autres techniciens et employés;115;64;0
39;V;Fonctions liées à la vente, au tourisme et aux services;2866;1319;1641
39;Z;Autres métiers;1336;519;648
40;A;Fonctions administratives;694;105;306
40;C;Fonctions d'encadrement;1123;399;406
40;I;Ouvriers des secteurs de l'industrie;2431;1266;1138
40;O;Ouvriers de la construction et du bâtiment;752;483;64
40;S;Fonctions sociales et médico-sociales;2661;1254;982
40;T;Autres techniciens et employés;166;78;12
40;V;Fonctions liées à la vente, au tourisme et aux services;10263;5019;7017
40;Z;Autres métiers;5871;2486;4270
41;A;Fonctions administratives;328;113;35
41;C;Fonctions d'encadrement;495;239;9
41;I;Ouvriers des secteurs de l'industrie;1234;613;108
41;O;Ouvriers de la construction et du bâtiment;563;378;0
41;S;Fonctions sociales et médico-sociales;1560;662;472
41;T;Autres techniciens et employés;288;184;0
41;V;Fonctions liées à la vente, au tourisme et aux services;3978;1397;1415
41;Z;Autres métiers;2784;1036;1725
42;A;Fonctions administratives;694;224;41
42;C;Fonctions d'encadrement;1073;409;253
42;I;Ouvriers des secteurs de l'industrie;2785;1258;489
42;O;Ouvriers de la construction et du bâtiment;1559;1025;112
42;S;Fonctions sociales et médico-sociales;2789;1965;1124
42;T;Autres techniciens et employés;455;353;7
42;V;Fonctions liées à la vente, au tourisme et aux services;5575;2656;1441
42;Z;Autres métiers;2489;875;1471
43;A;Fonctions administratives;188;58;47
43;C;Fonctions d'encadrement;154;75;11
43;I;Ouvriers des secteurs de l'industrie;1504;497;772
43;O;Ouvriers de la construction et du bâtiment;341;275;27
43;S;Fonctions sociales et médico-sociales;739;508;421
43;T;Autres techniciens et employés;65;13;18
43;V;Fonctions liées à la vente, au tourisme et aux services;2004;822;1025
43;Z;Autres métiers;785;354;339
44;A;Fonctions administratives;3020;942;502
44;C;Fonctions d'encadrement;6272;2212;956
44;I;Ouvriers des secteurs de l'industrie;5570;3402;688
44;O;Ouvriers de la construction et du bâtiment;2707;1841;125
44;S;Fonctions sociales et médico-sociales;6781;4010;2032
44;T;Autres techniciens et employés;1918;1188;32
44;V;Fonctions liées à la vente, au tourisme et aux services;20664;10247;6330
44;Z;Autres métiers;9524;4374;5083
45;A;Fonctions administratives;1004;315;65
45;C;Fonctions d'encadrement;1824;508;84
45;I;Ouvriers des secteurs de l'industrie;2179;968;310
45;O;Ouvriers de la construction et du bâtiment;1346;698;125
45;S;Fonctions sociales et médico-sociales;2747;876;318
45;T;Autres techniciens et employés;586;444;67
45;V;Fonctions liées à la vente, au tourisme et aux services;6511;2733;1512
45;Z;Autres métiers;3821;1516;1723
46;A;Fonctions administratives;292;86;48
46;C;Fonctions d'encadrement;364;178;26
46;I;Ouvriers des secteurs de l'industrie;505;368;154
46;O;Ouvriers de la construction et du bâtiment;300;187;38
46;S;Fonctions sociales et médico-sociales;638;356;166
46;T;Autres techniciens et employés;67;26;6
46;V;Fonctions liées à la vente, au tourisme et aux services;2905;1224;1921
46;Z;Autres métiers;1135;425;727
47;A;Fonctions administratives;278;64;31
47;C;Fonctions d'encadrement;387;124;57
47;I;Ouvriers des secteurs de l'industrie;1519;689;641
47;O;Ouvriers de la construction et du bâtiment;552;286;97
47;S;Fonctions sociales et médico-sociales;1286;661;545
47;T;Autres techniciens et employés;122;75;21
47;V;Fonctions liées à la vente, au tourisme et aux services;3226;1650;1207
47;Z;Autres métiers;7317;3383;6059
48;A;Fonctions administratives;131;54;78
48;C;Fonctions d'encadrement;63;36;14
48;I;Ouvriers des secteurs de l'industrie;186;155;79
48;O;Ouvriers de la construction et du bâtiment;146;87;13
48;S;Fonctions sociales et médico-sociales;512;298;256
48;T;Autres techniciens et employés;12;5;0
48;V;Fonctions liées à la vente, au tourisme et aux services;1558;606;1071
48;Z;Autres métiers;528;131;250
49;A;Fonctions administratives;1158;363;149
49;C;Fonctions d'encadrement;1839;484;240
49;I;Ouvriers des secteurs de l'industrie;4122;2339;951
49;O;Ouvriers de la construction et du bâtiment;1562;1190;114
49;S;Fonctions sociales et médico-sociales;5002;2801;1832
49;T;Autres techniciens et employés;611;386;54
49;V;Fonctions liées à la vente, au tourisme et aux services;8997;3746;2615
49;Z;Autres métiers;10927;5431;8520
50;A;Fonctions administratives;555;153;140
50;C;Fonctions d'encadrement;753;388;50
50;I;Ouvriers des secteurs de l'industrie;2290;1474;218
50;O;Ouvriers de la construction et du bâtiment;1308;1098;28
50;S;Fonctions sociales et médico-sociales;1888;1188;569
50;T;Autres techniciens et employés;342;285;0
50;V;Fonctions liées à la vente, au tourisme et aux services;6841;3142;2866
50;Z;Autres métiers;3668;1903;2187
51;A;Fonctions administratives;787;198;96
51;C;Fonctions d'encadrement;1057;400;173
51;I;Ouvriers des secteurs de l'industrie;2323;1011;710
51;O;Ouvriers de la construction et du bâtiment;929;559;61
51;S;Fonctions sociales et médico-sociales;1598;715;427
51;T;Autres techniciens et employés;397;253;17
51;V;Fonctions liées à la vente, au tourisme et aux services;5670;2127;1855
51;Z;Autres métiers;13725;3933;11865
52;A;Fonctions administratives;157;23;0
52;C;Fonctions d'encadrement;155;72;44
52;I;Ouvriers des secteurs de l'industrie;398;142;76
52;O;Ouvriers de la construction et du bâtiment;170;131;26
52;S;Fonctions sociales et médico-sociales;561;428;147
52;T;Autres techniciens et employés;94;63;0
52;V;Fonctions liées à la vente, au tourisme et aux services;1398;692;381
52;Z;Autres métiers;812;440;432
53;A;Fonctions administratives;437;136;51
53;C;Fonctions d'encadrement;571;219;79
53;I;Ouvriers des secteurs de l'industrie;2014;1059;381
53;O;Ouvriers de la construction et du bâtiment;626;566;14
53;S;Fonctions sociales et médico-sociales;1351;754;274
53;T;Autres techniciens et employés;109;77;0
53;V;Fonctions liées à la vente, au tourisme et aux services;2630;1268;688
53;Z;Autres métiers;1931;920;774
54;A;Fonctions administratives;842;206;80
54;C;Fonctions d'encadrement;1219;336;247
54;I;Ouvriers des secteurs de l'industrie;1174;690;96
54;O;Ouvriers de la construction et du bâtiment;1073;571;105
54;S;Fonctions sociales et médico-sociales;3244;1544;1194
54;T;Autres techniciens et employés;476;254;6
54;V;Fonctions liées à la vente, au tourisme et aux services;6977;3239;1749
54;Z;Autres métiers;1756;711;699
55;A;Fonctions administratives;172;100;45
55;C;Fonctions d'encadrement;297;132;110
55;I;Ouvriers des secteurs de l'industrie;687;216;79
55;O;Ouvriers de la construction et du bâtiment;331;211;41
55;S;Fonctions sociales et médico-sociales;665;386;372
55;T;Autres techniciens et employés;100;20;0
55;V;Fonctions liées à la vente, au tourisme et aux services;1278;687;455
55;Z;Autres métiers;1167;451;761
56;A;Fonctions administratives;1284;187;392
56;C;Fonctions d'encadrement;1811;428;408
56;I;Ouvriers des secteurs de l'industrie;4022;2306;1227
56;O;Ouvriers de la construction et du bâtiment;1539;1181;108
56;S;Fonctions sociales et médico-sociales;3458;1995;1631
56;T;Autres techniciens et employés;453;277;14
56;V;Fonctions liées à la vente, au tourisme et aux services;14976;7692;7884
56;Z;Autres métiers;4367;2048;2264
57;A;Fonctions administratives;1052;220;127
57;C;Fonctions d'encadrement;1165;410;244
57;I;Ouvriers des secteurs de l'industrie;2928;1577;670
57;O;Ouvriers de la construction et du bâtiment;2501;1623;328
57;S;Fonctions sociales et médico-sociales;2615;1565;601
57;T;Autres techniciens et employés;633;352;62
57;V;Fonctions liées à la vente, au tourisme et aux services;9594;4685;2122
57;Z;Autres métiers;2630;1072;766
58;A;Fonctions administratives;247;62;44
58;C;Fonctions d'encadrement;420;90;175
58;I;Ouvriers des secteurs de l'industrie;332;95;126
58;O;Ouvriers de la construction et du bâtiment;389;214;110
58;S;Fonctions sociales et médico-sociales;894;540;355
58;T;Autres techniciens et employés;102;76;0
58;V;Fonctions liées à la vente, au tourisme et aux services;1752;707;594
58;Z;Autres métiers;903;309;437
59;A;Fonctions administratives;3645;1296;656
59;C;Fonctions d'encadrement;7316;3025;989
59;I;Ouvriers des secteurs de l'industrie;7631;3567;1826
59;O;Ouvriers de la construction et du bâtiment;3967;2446;245
59;S;Fonctions sociales et médico-sociales;9680;5032;3833
59;T;Autres techniciens et employés;1560;1003;23
59;V;Fonctions liées à la vente, au tourisme et aux services;24212;10289;4089
59;Z;Autres métiers;9433;2705;3761
60;A;Fonctions administratives;997;434;62
60;C;Fonctions d'encadrement;1713;369;711
60;I;Ouvriers des secteurs de l'industrie;2112;1152;279
60;O;Ouvriers de la construction et du bâtiment;843;639;24
60;S;Fonctions sociales et médico-sociales;2214;1312;690
60;T;Autres techniciens et employés;625;231;200
60;V;Fonctions liées à la vente, au tourisme et aux services;7956;2981;2382
60;Z;Autres métiers;2545;1153;1019
61;A;Fonctions administratives;220;73;46
61;C;Fonctions d'encadrement;195;81;27
61;I;Ouvriers des secteurs de l'industrie;1179;629;231
61;O;Ouvriers de la construction et du bâtiment;566;404;0
61;S;Fonctions sociales et médico-sociales;1147;808;249
61;T;Autres techniciens et employés;83;61;6
61;V;Fonctions liées à la vente, au tourisme et aux services;2337;1004;721
61;Z;Autres métiers;1275;547;391
62;A;Fonctions administratives;920;190;227
62;C;Fonctions d'encadrement;1382;415;279
62;I;Ouvriers des secteurs de l'industrie;3634;1364;719
62;O;Ouvriers de la construction et du bâtiment;2187;1517;52
62;S;Fonctions sociales et médico-sociales;5083;2150;2225
62;T;Autres techniciens et employés;585;361;40
62;V;Fonctions liées à la vente, au tourisme et aux services;13281;5331;4511
62;Z;Autres métiers;5985;2154;2382
63;A;Fonctions administratives;992;293;267
63;C;Fonctions d'encadrement;1427;461;383
63;I;Ouvriers des secteurs de l'industrie;1943;1020;297
63;O;Ouvriers de la construction et du bâtiment;1238;1005;40
63;S;Fonctions sociales et médico-sociales;2603;1485;841
63;T;Autres techniciens et employés;475;169;26
63;V;Fonctions liées à la vente, au tourisme et aux services;8072;2870;2801
63;Z;Autres métiers;3107;797;1640
64;A;Fonctions administratives;1239;429;253
64;C;Fonctions d'encadrement;2045;623;472
64;I;Ouvriers des secteurs de l'industrie;2308;1382;383
64;O;Ouvriers de la construction et du bâtiment;1187;802;83
64;S;Fonctions sociales et médico-sociales;3309;1827;758
64;T;Autres techniciens et employés;388;258;20
64;V;Fonctions liées à la vente, au tourisme et aux services;12571;7270;5392
64;Z;Autres métiers;4425;1627;3248
65;A;Fonctions administratives;241;54;74
65;C;Fonctions d'encadrement;527;190;171
65;I;Ouvriers des secteurs de l'industrie;548;395;35
65;O;Ouvriers de la construction et du bâtiment;466;214;59
65;S;Fonctions sociales et médico-sociales;1458;652;416
65;T;Autres techniciens et employés;155;106;0
65;V;Fonctions liées à la vente, au tourisme et aux services;4097;1926;2416
65;Z;Autres métiers;732;352;355
66;A;Fonctions administratives;678;236;245
66;C;Fonctions d'encadrement;1449;231;290
66;I;Ouvriers des secteurs de l'industrie;1133;675;688
66;O;Ouvriers de la construction et du bâtiment;435;264;25
66;S;Fonctions sociales et médico-sociales;2046;1274;1010
